key_word,uid,avatar,author1,author2,like,followers,description
洛阳梅森学校,MS4wLjABAAAAOEm8sasBxVLd7Qu8VrImPVgmjQHpZJDwK9s1Qa6yjBV_CLFh52Yf33HnP-HT17Bj,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/mosaic-legacy_3199300076e3185035b1c.jpeg?from=2956013662,梅森高中,meisengaozhong,39.3万获赞,1868粉丝,洛阳民办高中，打造有温度的教育，欣赏越来越优秀的自己！
洛阳梅森学校,MS4wLjABAAAA8j-ojU0VgnpOvpwawO30mziYcUaT9EK27fOkqhjoHj0HWIYL8RMgwp3mF0Weia5N,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_09327a0333ff445abe5c3d00a547d46a.jpeg?from=2956013662,梅森wuu,mswuu,2903.9万获赞,451.8万粉丝,关注我，让你变得更强生活号：@梅森wuu的日常 商务V：msmswuu
洛阳梅森学校,MS4wLjABAAAAiWi8wpyVnKEiLAUKzki0jC-Wo8R60Oc-GY98jmjVxYmXHj2Yt1rnq31RVWRSjmVb,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_7f24baa757c5625234e5ee2459f1c8ab.jpeg?from=2956013662,NateMason梅森,natemason2,1.0万获赞,1987粉丝,此用户没有填写简介
洛阳梅森学校,MS4wLjABAAAAIfrqEwxMLlajxmUXXxSUEhRQ1GfPj_d4kGYH4Bxas-w,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_6599ad031ffa4ae4a9c20179687610a0.jpeg?from=2956013662,梅森学术,masonacademic,91.9万获赞,15.6万粉丝,梅森学术｜专业论文辅导、科研服务尔雅老师｜中传硕博、高校硕导论文服务｜首页—店铺商品—购买即可在线看 1v1辅导课私信谢谢您的关注
洛阳梅森学校,MS4wLjABAAAAnjB8CDNYFWsXF_1T5fTmiqiC3vXDiBM9L7xe81nNOoM,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_41b7236244dd4ef49bde944b5dc9d557.jpeg?from=2956013662,梅森,185847082,35获赞,8.1万粉丝,私募基金操盘手
银川市学雷锋服务中心,MS4wLjABAAAAl3yJBGoufWaOgubm8K2kWXnI4wCjfTCB5zSi15N1gtc,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_8f2fddc5c8024845ad39f03ffcfdfdf0.jpeg?from=2956013662,银川市雷锋车队志愿者协会会长,xye15809574833,11.8万获赞,5362粉丝,心有多大，舞台就有多大
银川市学雷锋服务中心,MS4wLjABAAAAWKFowah48dY1khojuInRDw6jI-t2tElnDEbLsu6i6c4,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_b872fc2a8f394cc1a434ae1229e85190.jpeg?from=2956013662,银川市雷锋纪念馆,YinchuanshiLFJNG,416获赞,273粉丝,雷锋精神是永恒的，是社会主义核心价值观的生动体现！
银川市学雷锋服务中心,MS4wLjABAAAAXZVifuP_3EytOqwAwFukqXDMLbHqg8iY_5PNAGmKCiw,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_1c437609f4e74afc8a6a3f3b436ba85f.jpeg?from=2956013662,银川 雷锋,dykvd9x6fa2m,82获赞,44粉丝,17752318002有关汽车一切问题有问必答，
银川市学雷锋服务中心,MS4wLjABAAAAaT_-zWly9m0TODbM23Ngtes8UtJnTr1yXdiLrwmv-Tw,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-avt-0015_6923aaea4391afde2a7f8b2245621799.jpeg?from=2956013662,雷锋在银川,812203427,6178获赞,2544粉丝,万里长城永不倒点个关注好不好
银川市学雷锋服务中心,MS4wLjABAAAAoTH2fSBtFCjY9Yrp7jON6sqJ861DgVmSgAWXPcXJ3_M,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813c001_58af94fe8e4a470ab847b5baf7d13dc3.jpeg?from=2956013662,学雷锋为人民服务,dy86r3ir7r5m,1759获赞,516粉丝,此用户没有填写简介
淄博市张店区立美老年公寓,MS4wLjABAAAA2Ad8wg2jcJiPP-jZ_WFs4n9y6HuL1x9blMW3AuxRALSj0pdX3yT1AKETKlDhNIXn,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_6c8334a68ce54ddea0d84b4eba1c8cff.jpeg?from=2956013662,崔军立美老年公寓,dywo3w96gtbq,1.6万获赞,3231粉丝,13864301830
淄博市张店区立美老年公寓,MS4wLjABAAAA38YHnWZqPK2Jvtcwek5QXPcSp35jbRk6ZMbSAqgdivTHRHSggoqKnMlIbC4lXknu,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_f53f9431ca6840b1a162fb367c3610a4.jpeg?from=2956013662,张店镇星河湾老年公寓,dyj3f8qcjiuj,4.5万获赞,5771粉丝,热衷于养老事业，做一个快乐的养老院院长，希望大家支持，
淄博市张店区立美老年公寓,MS4wLjABAAAAOb3976sFs6dP1CPrlRi7m5ZcZ_Zc4gZ1SEDc-h4Oc6qCTFMT-RR0xDQARoCHACKL,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_902a7e60692e4724a6968e36b69589ca.jpeg?from=2956013662,宁智寓和一淄博市张店区九级老年公寓,dybuqgvzq8pt,3194获赞,472粉丝,九级村老年公寓位于张店区世纪路与华光路交叉路口南100米，内设110医疗用床，1850元就可以入住自理老人。
淄博市张店区立美老年公寓,MS4wLjABAAAAfHglQAX7laSwIncvs1YOUSH0AjDCSkgOTWWpWUoux2Y,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/mosaic-legacy_2d2e8000227be63585e71.jpeg?from=2956013662,家美老年公寓,jiameilaonia,17.0万获赞,8763粉丝,此用户没有填写简介
淄博市张店区立美老年公寓,MS4wLjABAAAAkatCDq5keiIUb9hWC8Al1iF3TOEoCLXKPI_YnIkw2G_Yxfp4vkyHB3Qn6scdH_3X,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_d8558ef92ed54ea9b254f5f5dae745af.jpeg?from=2956013662,淄博张店民宿,13953323853_007,1049获赞,292粉丝,淄博张店民宿日租钟点房，需要的联系！微信电话13953323853
同心县星海幼儿园,MS4wLjABAAAAfG4Hc8SzPkXw4H5j5416_O-IY3kG4oI-rKbHTTuKZwK5VrJ7c0LzwnqSZa5xLzKC,https://p3-pc.douyinpic.com/aweme/100x100/aweme-avatar/tos-cn-i-0813_532a67febf34489184e29311ac1cb838.jpeg?from=2956013662,星海幼儿园,xinghaiyouer55,3497获赞,370粉丝,星海幼儿园是汕尾市城区普惠性幼儿园，被评为“广东省规范化幼儿园”和“汕尾市城区一级幼儿园”，建筑面积1800平方米，操场面积1000平方米。引进五星教育优秀教学经验和先进的教学理念，以“用爱养育，用心教育”为办园宗旨，培养孩子认识、情感、体能等综合多元智能发展，集艺术、童趣化、教育化于一体的幼儿园。
